name,location,category_code
Займ другу,Госуслуги,OTHER
Долг коллеге,Нотариус,OTHER
Алименты,,OTHER
Штраф библиотека,,OTHER
Пени банка,,OTHER
Посылка,,OTHER
Бандероль,,OTHER
Курьерская доставка СДЭК,,OTHER
Boxberry,,OTHER
Пошлина таможня,,OTHER
Растаможка,,OTHER
Хранение посылки,,OTHER
До востребования,,OTHER
Ручка шариковая офис,,OTHER
Скрепки,,OTHER
Папка-регистратор,,OTHER
Файл прозрачный,,OTHER
Печать документов,,OTHER
Ксерокопия,,OTHER
Ламинация,,OTHER
Фото на документы,,OTHER
Визитки,,OTHER
Подарок коллеге,,OTHER
Цветы букет подарок,,OTHER
Открытка,,OTHER
Сувенир,,OTHER
Магнит сувенирный,,OTHER
Значок,,OTHER
Брелок,,OTHER
Упаковка подарка,,OTHER
Разное,,OTHER
Прочее,,OTHER
Мелочь,,OTHER
Неизвестно,,OTHER
Покупка без названия,,OTHER
Оплата по QR,,OTHER
Оплата по счёту,,OTHER
Безнал без категории,,OTHER
Возврат ошибочный,,OTHER
Корректировка,,OTHER
Страховка жизни,,OTHER
Страховка от несчастного случая,,OTHER
Членский взнос,,OTHER
Профсоюз,,OTHER
Взнос в фонд,,OTHER
Краудфандинг,,OTHER
Донат,,OTHER
Boosty,,OTHER
Patreon,,OTHER
Чаевые курьеру,,OTHER
Сервисный сбор,,OTHER
Пошлина суд,,OTHER
Штраф административный,,OTHER
Исполнительский сбор,,OTHER
ФССП,,OTHER
Штраф налоговой,,OTHER
Пени налоговой,,OTHER
Налог самозанятый,,OTHER
Патент,,OTHER
Госпошлина брак,,OTHER
Госпошлина развод,,OTHER
Ремонт телефона,,OTHER
Замена экрана,,OTHER
Сервисный центр,,OTHER
Гарантийный ремонт,,OTHER
